codigo;nombre;codigo_departamento
52838;Túquerres;52
13836;Turbaco;13
13838;Turbana;13
5837;Turbo;5
15835;Turmequé;15
15837;Tuta;15
15839;Tutazá;15
25839;Ubalá;25
25841;Ubaque;25
25843;Ubaté;25
76845;Ulloa;76
15842;Úmbita;15
25845;Une;25
27800;Unguía;27
27810;Unión Panamericana ( Animas;27
5842;Uramita;5
50370;Uribe;50
5847;Urrao;5
44855;Urumita;44
8849;Usiacurí;8
25851;Útica;25
5854;Valdivia;5
23855;Valencia;23
68855;Valle de San José;68
73854;Valle de San Juan;73
86865;Valle del Guamuez (La Hormiga;86
20001;Valledupar;20
5856;Valparaiso;5
18860;Valparaíso;18
5858;Vegachí;5
68861;Vélez;68
73861;Venadillo;73
5861;Venecia;5
25506;Venecia;25
15861;Ventaquemada;15
25862;Vergara;25
76863;Versalles;76
68867;Vetas;68
25867;Vianí;25
17867;Victoria;17
5873;Vigia del Fuerte;5
76869;Vijes;76
54871;Villa Caro;54
15407;Villa de Leiva;15
54874;Villa del Rosario;54
19845;Villa Rica;19
86885;Villagarzón;86
25871;Villagómez;25
73870;Villahermosa;73
17873;Villamaria;17
13873;Villanueva;13
85440;Villanueva;85
44874;Villanueva;44
68872;Villanueva;68
25873;Villapinzón;25
73873;Villarrica;73
50001;Villavicencio;50
41872;Villavieja;41
25875;Villeta;25
25878;Viotá;25
15879;Viracachá;15
50711;Vistahermosa;50
17877;Viterbo;17
25885;Yacopí;25
52885;Yacuanquer;52
41885;Yaguará;41
5885;Yalí;5
5887;Yarumal;5
5890;Yolombó;5
5893;Yondó (Casabe;5
85001;Yopal;85
76890;Yotoco;76
76892;Yumbo;76
13894;Zambrano;13
68895;Zapatoca;68
47960;Zapayán;47
5895;Zaragoza;5
76895;Zarzal;76
15897;Zetaquirá;15
25898;Zipacón;25
25899;Zipaquirá;25
47980;Zona Bananera;47
